COUNTY,ROUTE,SEGMENT,DATA_YEAR,TOTAL_CRASH,FATAL,FATAL_MAJ,INJURY,FATAL_INJ,PDO,LENGTH_MI_YR,LENGTH_FT_YR,AADT,BEG_MP,END_MP,TravelWayWidth,LANES,SPEED,LeftShldPave,RtshldPave,COUNTY_NAME,RHR,PASS_ZONE,CL_RS,SH_RS,ACCESS_PTS,NO_INTS,NO_CURVES,AVG_D,AccessDensity
3,28,350,2008,1,0,0,1,1,0,0.676704545,3573,5789,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.29974811
3,28,350,2009,0,0,0,0,0,0,0.684659091,3615,5789,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.14522822
3,28,350,2010,1,0,0,1,1,0,0.684659091,3615,5789,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.14522822
3,28,350,2011,3,0,1,2,2,1,0.684659091,3615,5789,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.14522822
3,28,350,2012,2,0,0,0,0,2,0.684659091,3615,5789,15.20530303,15.88996212,22,2,55,2,2,ARMSTRONG     ,4,1,1,0,9,0,1,1.462102479,13.14522822
3,28,360,2005,0,0,0,0,0,0,0.357575758,1888,6732,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2006,0,0,0,0,0,0,0.357575758,1888,6833,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2007,0,0,0,0,0,0,0.357575758,1888,6892,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2008,1,0,0,1,1,0,0.357575758,1888,5789,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2009,0,0,0,0,0,0,0.357575758,1888,5789,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2010,1,0,0,0,0,1,0.357575758,1888,5789,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
3,28,360,2011,1,0,0,0,0,1,0.357575758,1888,5789,15.88996212,16.24753788,22,2,55,2,2,ARMSTRONG     ,5,0,1,0,7,0,0,0,19.57627119
